title,authors,abstract
Multi-Fusion Chinese WordNet (MCW) : Compound of Machine Learning and Manual Correction,"Authors:Mingchen Li,Zili Zhou,Yanna Wang","Abstract:…of PWN. So we decided to make a new Chinese wordnet called Multi-Fusion Chinese Wordnet (MCW) to make up those shortcomings. The key idea is to extend the SEW with the help ofOxfordbilingual dictionary and Xinhua bilingual dictionary, and then correct it. More specifically, we used machine learning and manual adjustment in our corrections. Two standards we…▽ MorePrinceton WordNet (PWN) is a lexicon-semantic network based on cognitive linguistics, which promotes the development of natural language processing. Based on PWN, five Chinese wordnets have been developed to solve the problems of syntax and semantics. They include: Northeastern University Chinese WordNet (NEW), Sinica Bilingual Ontological WordNet (BOW), Southeast University Chinese WordNet (SEW), Taiwan University Chinese WordNet (CWN), Chinese Open WordNet (COW). By using them, we found that these word networks have low accuracy and coverage, and cannot completely portray the semantic network of PWN. So we decided to make a new Chinese wordnet called Multi-Fusion Chinese Wordnet (MCW) to make up those shortcomings. The key idea is to extend the SEW with the help ofOxfordbilingual dictionary and Xinhua bilingual dictionary, and then correct it. More specifically, we used machine learning and manual adjustment in our corrections. Two standards were formulated to help our work. We conducted experiments on three tasks including relatedness calculation, word similarity and word sense disambiguation for the comparison of lemma's accuracy, at the same time, coverage also was compared. The results indicate that MCW can benefit from coverage and accuracy via our method. However, it still has room for improvement, especially with lemmas. In the future, we will continue to enhance the accuracy of MCW and expand the concepts in it.△ Less"
Symplectic Manifolds and Isomonodromic Deformations,Authors:Philip Boalch,"Abstract:We study moduli spaces of meromorphic connections (with arbitrary order poles) over Riemann surfaces together with the corresponding spaces of monodromy data (involving Stokes matrices). Natural symplectic structures are found and described both explicitly and from an infinite dimensional viewpoint (generalising the Atiyah-Bott approach). This enables us to give an intrinsic symplectic description…▽ MoreWe study moduli spaces of meromorphic connections (with arbitrary order poles) over Riemann surfaces together with the corresponding spaces of monodromy data (involving Stokes matrices). Natural symplectic structures are found and described both explicitly and from an infinite dimensional viewpoint (generalising the Atiyah-Bott approach). This enables us to give an intrinsic symplectic description of the isomonodromic deformation equations of Jimbo, Miwa and Ueno, thereby putting the existing results for the six Painleve equations and Schlesinger's equations into a uniform framework.△ Less"
AutoFCL: Automatically Tuning Fully Connected Layers for Handling Small Dataset,"Authors:S. H. Shabbeer Basha,Sravan Kumar Vinakota,Shiv Ram Dubey,Viswanath Pulabaigari,Snehasis Mukherjee","Abstract:…five pre-trained CNN models such as VGG-16, ResNet, DenseNet, MobileNet, and NASNetMobile. The experiments are conducted on three benchmark datasets, namely CalTech-101,Oxford-102 Flowers, and UC Merced Land Use datasets. Fine-tuning the newly learned (target-dependent) FC layers leads to state-of-the-art performance, according to the experiments carried ou…▽ MoreDeep Convolutional Neural Networks (CNN) have evolved as popular machine learning models for image classification during the past few years, due to their ability to learn the problem-specific features directly from the input images. The success of deep learning models solicits architecture engineering rather than hand-engineering the features. However, designing state-of-the-art CNN for a given task remains a non-trivial and challenging task, especially when training data size is less. To address this phenomena, transfer learning has been used as a popularly adopted technique. While transferring the learned knowledge from one task to another, fine-tuning with the target-dependent Fully Connected (FC) layers generally produces better results over the target task. In this paper, the proposed AutoFCL model attempts to learn the structure of FC layers of a CNN automatically using Bayesian optimization. To evaluate the performance of the proposed AutoFCL, we utilize five pre-trained CNN models such as VGG-16, ResNet, DenseNet, MobileNet, and NASNetMobile. The experiments are conducted on three benchmark datasets, namely CalTech-101,Oxford-102 Flowers, and UC Merced Land Use datasets. Fine-tuning the newly learned (target-dependent) FC layers leads to state-of-the-art performance, according to the experiments carried out in this research. The proposed AutoFCL method outperforms the existing methods over CalTech-101 andOxford-102 Flowers datasets by achieving the accuracy of 94.38% and 98.89%, respectively. However, our method achieves comparable performance on the UC Merced Land Use dataset with 96.83% accuracy. The source codes of this research are available at https://github.com/shabbeersh/AutoFCL.△ Less"
Understanding Profunctor Optics: a representation theorem,Authors:Guillaume Boisseau,"Abstract:Optics, aka functional references, are classes of tools that allow composable access into compound data structures. Usually defined as programming language libraries, they provide combinators to manipulate different shapes of data such as sums, products and collections, that can be composed to operate on larger structures. Together they form a powerful language to describe transformations of data.…▽ MoreOptics, aka functional references, are classes of tools that allow composable access into compound data structures. Usually defined as programming language libraries, they provide combinators to manipulate different shapes of data such as sums, products and collections, that can be composed to operate on larger structures. Together they form a powerful language to describe transformations of data. Among the different approaches to describing optics, one particular type of optics, called profunctor optics, stands out. It describes alternative but equivalent representations of most of the common combinators, and enhances them with elegant composability properties via a higher-order encoding. Notably, it enables easy composition across different optic families. Unfortunately, profunctor optics are difficult to reason about, and linking usual optics with an equivalent profunctor representation has so far been done on a case-by-case basis, with definitions that sometimes seem very ad hoc. This makes it hard both to analyse properties of existing profunctor optics and to define new ones. This thesis presents an equivalent representation of profunctor optics, called isomorphism optics, that is both closer to intuition and easier to reason about. This tool enables powerful theorems to be derived generically about profunctor optics. Finally, this thesis develops a framework to ease deriving new profunctor encodings from concrete optic families.△ Less"
Magnetic Fluctuations and the Spin-Orbit Interaction in Mott Insulating CoO,"Authors:P. M. Sarte,S. D. Wilson,J. P. Attfield,C. Stock","Abstract:…using conventional pseudo-bosonic approaches. It would not be for another 40 years that Roger, now atOxfordand motivated by the discovery of the high-$T_{c}$ cuprate superconductors [Bednorz & Muller 1986 Z. Phys. B $\mathbf{64}$ 189], would make another attempt at the parameterisation of the magnetic excitation spectrum that had previously alluded hi…▽ MoreMotivated by the presence of an unquenched orbital angular momentum in CoO, a team at Chalk River, including a recently hired research officer Roger Cowley, performed the first inelastic neutron scattering experiments on the classic Mott insulator [Sakurai $\textit{et al.}$ 1968 Phys. Rev. $\mathbf{167}$ 510]. Despite identifying magnon modes at the zone boundary, the team was unable to parameterise the low energy magnetic excitation spectrum below $T\rm{_{N}}$ using conventional pseudo-bosonic approaches. It would not be for another 40 years that Roger, now atOxfordand motivated by the discovery of the high-$T_{c}$ cuprate superconductors [Bednorz & Muller 1986 Z. Phys. B $\mathbf{64}$ 189], would make another attempt at the parameterisation of the magnetic excitation spectrum that had previously alluded him. Upon his return to CoO, Roger found a system embroiled in controversy, with some of its most fundamental parameters still remaining undetermined. Faced with such a formidable task, Roger performed a series of inelastic neutron scattering experiments in the early 2010's on both CoO and a magnetically dilute structural analogue MgO. These experiments would prove instrumental in the determination of both single-ion [Cowley $\textit{et al.}$ 2013 Phys. Rev. B $\mathbf{88}$ 205117] and cooperative magnetic parameters [Sarte $\textit{et al.}$ 2018 Phys. Rev. B $\mathbf{98}$ 024415] for CoO. Both these sets of parameters would eventually be used in a spin-orbit exciton model [Sarte $\textit{et al.}$ 2019 Phys. Rev. B $\mathbf{100}$ 075143], developed by his longtime friend and collaborator Bill Buyers, to successfully parameterise the complex spectrum that both measured at Chalk River almost 50 years prior. The story of CoO is of one that has come full circle, one filled with both spectacular failures and intermittent, yet profound, little victories.△ Less"
Under the Radar: Learning to Predict Robust Keypoints for Odometry Estimation and Metric Localisation in Radar,"Authors:Dan Barnes,Ingmar Posner","Abstract:…optimised for our application. Furthermore the architecture is sensor agnostic and can be applied to most modalities. We run experiments on 280km of real world driving from theOxfordRadar RobotCar Dataset and improve on the state-of-the-art in point-based radar odometry, reducing errors by up to 45% whilst running an order of magnitude faster, simultaneous…▽ MoreThis paper presents a self-supervised framework for learning to detect robust keypoints for odometry estimation and metric localisation in radar. By embedding a differentiable point-based motion estimator inside our architecture, we learn keypoint locations, scores and descriptors from localisation error alone. This approach avoids imposing any assumption on what makes a robust keypoint and crucially allows them to be optimised for our application. Furthermore the architecture is sensor agnostic and can be applied to most modalities. We run experiments on 280km of real world driving from theOxfordRadar RobotCar Dataset and improve on the state-of-the-art in point-based radar odometry, reducing errors by up to 45% whilst running an order of magnitude faster, simultaneously solving metric loop closures. Combining these outputs, we provide a framework capable of full mapping and localisation with radar in urban environments.△ Less"
Profunctor optics and traversals,Authors:Mario Román,"Abstract:Optics are bidirectional accessors of data structures; they provide a powerful abstraction of many common data transformations. This abstraction is compositional thanks to a representation in terms of profunctors endowed with an algebraic structure called Tambara module. There exists a general definition of optic in terms of coends that, after some elementary application of the Yoneda lemma, parti…▽ MoreOptics are bidirectional accessors of data structures; they provide a powerful abstraction of many common data transformations. This abstraction is compositional thanks to a representation in terms of profunctors endowed with an algebraic structure called Tambara module. There exists a general definition of optic in terms of coends that, after some elementary application of the Yoneda lemma, particularizes in each one of the basic optics. Traversals used to be the exception; we show an elementary derivation of traversals and discuss some other new derivations for optics. We relate our characterization of traversals to the previous ones showing that the coalgebras of a comonad that represents and split into shape and contents are traversable functors. The representation of optics in terms of profunctors has many different proofs in the literature; we discuss two ways of proving it, generalizing both to the case of mixed optics for an arbitrary action. Categories of optics can be seen as Eilenberg-Moore categories for a monad described by Pastro and Street. This gives us two different approaches to composition between profunctor optics of different families: using distributive laws between the monads defining them, and using coproducts of monads. The second one is the one implicitly used in Haskell programming; but we show that a refinement of the notion of optic is required in order to model it faithfully. We provide experimental implementations of a library of optics in Haskell and partial Agda formalizations of the profunctor representation theorem.△ Less"
Unifying Deep Local and Global Features for Image Search,"Authors:Bingyi Cao,Andre Araujo,Jack Sim","Abstract:…into the model, improving training efficiency and matching performance. Comprehensive experiments show that our model achieves state-of-the-art image retrieval on the RevisitedOxfordand Paris datasets, and state-of-the-art single-model instance-level recognition on the Google Landmarks dataset v2. Code and models are available at https://github.com/tensorf…▽ MoreImage retrieval is the problem of searching an image database for items that are similar to a query image. To address this task, two main types of image representations have been studied: global and local image features. In this work, our key contribution is to unify global and local features into a single deep model, enabling accurate retrieval with efficient feature extraction. We refer to the new model as DELG, standing for DEep Local and Global features. We leverage lessons from recent feature learning work and propose a model that combines generalized mean pooling for global features and attentive selection for local features. The entire network can be learned end-to-end by carefully balancing the gradient flow between two heads -- requiring only image-level labels. We also introduce an autoencoder-based dimensionality reduction technique for local features, which is integrated into the model, improving training efficiency and matching performance. Comprehensive experiments show that our model achieves state-of-the-art image retrieval on the RevisitedOxfordand Paris datasets, and state-of-the-art single-model instance-level recognition on the Google Landmarks dataset v2. Code and models are available at https://github.com/tensorflow/models/tree/master/research/delf .△ Less"
Towards Interpretable and Robust Hand Detection via Pixel-wise Prediction,"Authors:Dan Liu,Libo Zhang,Tiejian Luo,Lili Tao,Yanjun Wu","Abstract:…and derotation layers. (4) Auxiliary supervision accelerates the training process, which saves more than 10 hours in our experiments. Experimental results on the VIVA andOxfordhand detection and tracking datasets show competitive accuracy of our method compared with state-of-the-art methods with higher speed.▽ MoreThe lack of interpretability of existing CNN-based hand detection methods makes it difficult to understand the rationale behind their predictions. In this paper, we propose a novel neural network model, which introduces interpretability into hand detection for the first time. The main improvements include: (1) Detect hands at pixel level to explain what pixels are the basis for its decision and improve transparency of the model. (2) The explainable Highlight Feature Fusion block highlights distinctive features among multiple layers and learns discriminative ones to gain robust performance. (3) We introduce a transparent representation, the rotation map, to learn rotation features instead of complex and non-transparent rotation and derotation layers. (4) Auxiliary supervision accelerates the training process, which saves more than 10 hours in our experiments. Experimental results on the VIVA andOxfordhand detection and tracking datasets show competitive accuracy of our method compared with state-of-the-art methods with higher speed.△ Less"
"Deep Learning based Pedestrian Inertial Navigation: Methods, Dataset and On-Device Inference","Authors:Changhao Chen,Peijun Zhao,Chris Xiaoxuan Lu,Wei Wang,Andrew Markham,Niki Trigoni","Abstract:…of sufficient labelled data for training and evaluating architecture benchmarks has limited the adoption of DNNs in IMU-based tasks. In this paper, we present and release theOxfordInertial Odometry Dataset (OxIOD), a first-of-its-kind public dataset for deep learning based inertial navigation research, with fine-grained ground-truth on all sequences. Furth…▽ MoreModern inertial measurements units (IMUs) are small, cheap, energy efficient, and widely employed in smart devices and mobile robots. Exploiting inertial data for accurate and reliable pedestrian navigation supports is a key component for emerging Internet-of-Things applications and services. Recently, there has been a growing interest in applying deep neural networks (DNNs) to motion sensing and location estimation. However, the lack of sufficient labelled data for training and evaluating architecture benchmarks has limited the adoption of DNNs in IMU-based tasks. In this paper, we present and release theOxfordInertial Odometry Dataset (OxIOD), a first-of-its-kind public dataset for deep learning based inertial navigation research, with fine-grained ground-truth on all sequences. Furthermore, to enable more efficient inference at the edge, we propose a novel lightweight framework to learn and reconstruct pedestrian trajectories from raw IMU data. Extensive experiments show the effectiveness of our dataset and methods in achieving accurate data-driven pedestrian inertial navigation on resource-constrained devices.△ Less"
AutoDiscern: Rating the Quality of Online Health Information with Hierarchical Encoder Attention-based Neural Networks,"Authors:Laura Kinkead,Ahmed Allam,Michael Krauthammer","Abstract:…risks to the patient in the form of misinformation and a possibly poorer relationship with their physician. To address this, the DISCERN criteria (developed at University ofOxford) are used to evaluate the quality of online health information. However, patients are unlikely to take the time to apply these criteria to the health websites they visit. We built…▽ MorePatients increasingly turn to search engines and online content before, or in place of, talking with a health professional. Low quality health information, which is common on the internet, presents risks to the patient in the form of misinformation and a possibly poorer relationship with their physician. To address this, the DISCERN criteria (developed at University ofOxford) are used to evaluate the quality of online health information. However, patients are unlikely to take the time to apply these criteria to the health websites they visit. We built an automated implementation of the DISCERN instrument (Brief version) using machine learning models. We compared the performance of a traditional model (Random Forest) with that of a hierarchical encoder attention-based neural network (HEA) model using two language embeddings, BERT and BioBERT. The HEA BERT and BioBERT models achieved average F1-macro scores across all criteria of 0.75 and 0.74, respectively, outperforming the Random Forest model (average F1-macro = 0.69). Overall, the neural network based models achieved 81% and 86% average accuracy at 100% and 80% coverage, respectively, compared to 94% manual rating accuracy. The attention mechanism implemented in the HEA architectures not only provided 'model explainability' by identifying reasonable supporting sentences for the documents fulfilling the Brief DISCERN criteria, but also boosted F1 performance by 0.05 compared to the same architecture without an attention mechanism. Our research suggests that it is feasible to automate online health information quality assessment, which is an important step towards empowering patients to become informed partners in the healthcare process.△ Less"
On selected developments in the theory of natural dualities,Authors:Miroslav Haviar,"Abstract:…to make with his foreign colleagues several breakthroughs and move the theory forward. It is aimed as author's reflection on his works on the natural dualities inOxfordand Melbourne over the period of twenty years 1993-2012 (before his attention with the colleagues in universal algebra and lattice theory has been fully focused on the theory of canonica…▽ MoreThis is a survey on selected developments in the theory of natural dualities where the author had the opportunity to make with his foreign colleagues several breakthroughs and move the theory forward. It is aimed as author's reflection on his works on the natural dualities inOxfordand Melbourne over the period of twenty years 1993-2012 (before his attention with the colleagues in universal algebra and lattice theory has been fully focused on the theory of canonical extensions and the theory of bilattices). It is also meant as a remainder that the main problems of the theory of natural dualities, Dualisability Problem and Decidability Problem for Dualisability, remain still open.
  Theory of natural dualities is a general theory for quasi-varieties of algebras that generalizes `classical' dualities such as Stone duality for Boolean algebras, Pontryagin duality for abelian groups, Priestley duality for distributive lattices, and Hofmann-Mislove-Stralka duality for semilattices. We present a brief background of the theory and then illustrate its applications on our study of Entailment Problem, Problem of Endodualisability versus Endoprimality and then a famous Full versus Strong Problem with related developments.△ Less"
Unsupervised Scene Adaptation with Memory Regularization in vivo,"Authors:Zhedong Zheng,Yi Yang","Abstract:…+11.1% and +11.3% mIoU improvement over the baseline model, respectively. Besides, a similar +12.0% mIoU improvement is observed on the cross-city benchmark: Cityscapes ->OxfordRobotCar.▽ MoreWe consider the unsupervised scene adaptation problem of learning from both labeled source data and unlabeled target data. Existing methods focus on minoring the inter-domain gap between the source and target domains. However, the intra-domain knowledge and inherent uncertainty learned by the network are under-explored. In this paper, we propose an orthogonal method, called memory regularization in vivo to exploit the intra-domain knowledge and regularize the model training. Specifically, we refer to the segmentation model itself as the memory module, and minor the discrepancy of the two classifiers, i.e., the primary classifier and the auxiliary classifier, to reduce the prediction inconsistency. Without extra parameters, the proposed method is complementary to the most existing domain adaptation methods and could generally improve the performance of existing methods. Albeit simple, we verify the effectiveness of memory regularization on two synthetic-to-real benchmarks: GTA5 -> Cityscapes and SYNTHIA -> Cityscapes, yielding +11.1% and +11.3% mIoU improvement over the baseline model, respectively. Besides, a similar +12.0% mIoU improvement is observed on the cross-city benchmark: Cityscapes ->OxfordRobotCar.△ Less"
Formula size games for modal logic and $μ$-calculus,"Authors:Lauri Hella,Miikka Vilander","Abstract:We propose a new version of formula size game for modal logic. The game characterizes the equivalence of pointed Kripke-models up to formulas of given numbers of modal operators and binary connectives. Our game is similar to the well-known Adler-Immerman game. However, due to a crucial difference in the definition of positions of the game, its winning condition is simpler, and the second player do…▽ MoreWe propose a new version of formula size game for modal logic. The game characterizes the equivalence of pointed Kripke-models up to formulas of given numbers of modal operators and binary connectives. Our game is similar to the well-known Adler-Immerman game. However, due to a crucial difference in the definition of positions of the game, its winning condition is simpler, and the second player does not have a trivial optimal strategy. Thus, unlike the Adler-Immerman game, our game is a genuine two-person game. We illustrate the use of the game by proving a non-elementary succinctness gap between bisimulation invariant first-order logic $\mathrm{FO}$ and (basic) modal logic $\mathrm{ML}$. We also present a version of the game for the modal $μ$-calculus $\mathrm{L}_μ$ and show that $\mathrm{FO}$ is also non-elementarily more succinct than $\mathrm{L}_μ$.△ Less"
Image Manipulation with Natural Language using Two-sidedAttentive Conditional Generative Adversarial Network,"Authors:Dawei Zhu,Aditya Mogadala,Dietrich Klakow","Abstract:…(GAN) based framework at different scales. Experimental results show that TEA-cGAN which generates 128x128 and 256x256 resolution images outperforms existing methods on CUB andOxford-102 datasets both quantitatively and qualitatively.▽ MoreAltering the content of an image with photo editing tools is a tedious task for an inexperienced user. Especially, when modifying the visual attributes of a specific object in an image without affecting other constituents such as background etc. To simplify the process of image manipulation and to provide more control to users, it is better to utilize a simpler interface like natural language. Therefore, in this paper, we address the challenge of manipulating images using natural language description. We propose the Two-sidEd Attentive conditional Generative Adversarial Network (TEA-cGAN) to generate semantically manipulated images while preserving other contents such as background intact. TEA-cGAN uses fine-grained attention both in the generator and discriminator of Generative Adversarial Network (GAN) based framework at different scales. Experimental results show that TEA-cGAN which generates 128x128 and 256x256 resolution images outperforms existing methods on CUB andOxford-102 datasets both quantitatively and qualitatively.△ Less"
MTRNet++: One-stage Mask-based Scene Text Eraser,"Authors:Osman Tursun,Simon Denman,Rui Zeng,Sabesan Sivapalan,Sridha Sridharan,Clinton Fookes","Abstract:…branches, and attention blocks. With this architecture, MTRNet++ can remove text either with or without an external mask. It achieves state-of-the-art results on both theOxfordand SCUT datasets without using external ground-truth masks. The results of ablation studies demonstrate that the proposed multi-branch architecture with attention blocks is effectiv…▽ MoreA precise, controllable, interpretable and easily trainable text removal approach is necessary for both user-specific and large-scale text removal applications. To achieve this, we propose a one-stage mask-based text inpainting network, MTRNet++. It has a novel architecture that includes mask-refine, coarse-inpainting and fine-inpainting branches, and attention blocks. With this architecture, MTRNet++ can remove text either with or without an external mask. It achieves state-of-the-art results on both theOxfordand SCUT datasets without using external ground-truth masks. The results of ablation studies demonstrate that the proposed multi-branch architecture with attention blocks is effective and essential. It also demonstrates controllability and interpretability.△ Less"
An Economical Business-Cycle Model,"Authors:Pascal Michaillat,Emmanuel Saez","Abstract:This paper develops a new model of business cycles. The model is economical in that it is solved with an aggregate demand-aggregate supply diagram, and the effects of shocks and policies are obtained by comparative statics. The model builds on two unconventional assumptions. First, producers and consumers meet through a matching function. Thus, the model features unemployment, which fluctuates in…▽ MoreThis paper develops a new model of business cycles. The model is economical in that it is solved with an aggregate demand-aggregate supply diagram, and the effects of shocks and policies are obtained by comparative statics. The model builds on two unconventional assumptions. First, producers and consumers meet through a matching function. Thus, the model features unemployment, which fluctuates in response to aggregate demand and supply shocks. Second, wealth enters the utility function, so the model allows for permanent zero-lower-bound episodes. In the model, the optimal monetary policy is to set the interest rate at the level that eliminates the unemployment gap. This optimal interest rate is computed from the prevailing unemployment gap and monetary multiplier (the effect of the nominal interest rate on the unemployment rate). If the unemployment gap is exceedingly large, monetary policy cannot eliminate it before reaching the zero lower bound, but a wealth tax can.△ Less"
Improving Interpretability of Word Embeddings by Generating Definition and Usage,"Authors:Haitong Zhang,Yongping Du,Jiaxin Sun,Qingxiao Li","Abstract:…task model to multi-task setting and investigate several joint multi-task models to combine usage modeling and definition modeling together. Experimental results on existingOxforddataset and a new collectedOxford-2019 dataset show that our single-task model achieves the state-of-the-art result in definition modeling…▽ MoreWord embeddings are substantially successful in capturing semantic relations among words. However, these lexical semantics are difficult to be interpreted. Definition modeling provides a more intuitive way to evaluate embeddings by utilizing them to generate natural language definitions of corresponding words. This task is of great significance for practical application and in-depth understanding of word representations. We propose a novel framework for definition modeling, which can generate reasonable and understandable context-dependent definitions. Moreover, we introduce usage modeling and study whether it is possible to utilize embeddings to generate example sentences of words. These ways are a more direct and explicit expression of embedding's semantics for better interpretability. We extend the single task model to multi-task setting and investigate several joint multi-task models to combine usage modeling and definition modeling together. Experimental results on existingOxforddataset and a new collectedOxford-2019 dataset show that our single-task model achieves the state-of-the-art result in definition modeling and the multi-task learning methods are helpful for two tasks to improve the performance.△ Less"
SKD: Keypoint Detection for Point Clouds using Saliency Estimation,"Authors:Georgi Tinchev,Adrian Penate-Sanchez,Maurice Fallon","Abstract:…solely as a result of the geometry surrounding a point, but also take into account the descriptor's response. The approach was evaluated on two large LIDAR datasets - theOxfordRobotCar dataset and the KITTI dataset, where we obtain up to 50% improvement over the state-of-the-art in both matchability and repeatability. When performing sparse matching wi…▽ MoreWe present SKD, a novel keypoint detector that uses saliency to determine the best candidates from a point cloud for tasks such as registration and reconstruction. The approach can be applied to any differentiable deep learning descriptor by using the gradients of that descriptor with respect to the 3D position of the input points as a measure of their saliency. The saliency is combined with the original descriptor and context information in a neural network, which is trained to learn robust keypoint candidates. The key intuition behind this approach is that keypoints are not extracted solely as a result of the geometry surrounding a point, but also take into account the descriptor's response. The approach was evaluated on two large LIDAR datasets - theOxfordRobotCar dataset and the KITTI dataset, where we obtain up to 50% improvement over the state-of-the-art in both matchability and repeatability. When performing sparse matching with the keypoints computed by our method we achieve a higher inlier ratio and faster convergence.△ Less"
A spider timing model: accounting for quadrupole deformations and relativity in close pulsar binaries,"Authors:Guillaume Voisin,René Breton,Charlotte Summers","Abstract:Spider millisecond pulsars are, along with some eclipsing post-common envelope systems and cataclysmic variables, part of an expanding category of compact binaries with low-mass companions for which puzzling timing anomalies have been observed. The most prominent type of irregularities seen in them are orbital period variations, a phenomenon which has been proposed to originate from changes in the…▽ MoreSpider millisecond pulsars are, along with some eclipsing post-common envelope systems and cataclysmic variables, part of an expanding category of compact binaries with low-mass companions for which puzzling timing anomalies have been observed. The most prominent type of irregularities seen in them are orbital period variations, a phenomenon which has been proposed to originate from changes in the gravitational quadrupole moment of the companion star. A physically sound modelling of the timing of these systems is key to understanding their structure and evolution. In this paper we argue that a complete timing model must account for relativistic corrections as well as rotationally and tidally induced quadrupole distortions. We solve for the resulting orbital dynamics using perturbation theory and derive the corresponding timing model in the low eccentricity limit. We find that the expected strong quadrupole deformation of the companion star results in an effective minimum orbital eccentricity. It is accompanied by a fast periastron precession which, if not taken into account, averages out any measurement of the said eccentricity. We show that, with our model, detection of both eccentricity and precession is likely to be made in many if not all spider pulsar systems. Combined with optical light curves, this will allow us to measure the apsidal motion constant, connecting the quadrupole deformation to the internal structure, and thus opening a new window into probing the nature of their exotic stellar interiors. Moreover, more accurate timing may eventually lead spider pulsars to be used for high-precision timing experiments such as pulsar timing arrays.△ Less"
A Categorical Approach to Subgroups of Quantum Groups and Their Crystal Bases,Authors:Rhiannon Savage,"Abstract:Suppose that we have a semisimple, connected, simply connected algebraic group $G$ with corresponding Lie algebra $\mathfrak{g}$. There is a Hopf pairing between the universal enveloping algebra $U(\mathfrak{g})$ and the coordinate ring $O(G)$. By introducing a parameter $q$, we can consider quantum deformations $U_q(\mathfrak{g})$ and $O_q(G)$ respectively, between which there again exists a Hopf…▽ MoreSuppose that we have a semisimple, connected, simply connected algebraic group $G$ with corresponding Lie algebra $\mathfrak{g}$. There is a Hopf pairing between the universal enveloping algebra $U(\mathfrak{g})$ and the coordinate ring $O(G)$. By introducing a parameter $q$, we can consider quantum deformations $U_q(\mathfrak{g})$ and $O_q(G)$ respectively, between which there again exists a Hopf pairing. We show that the category of crystals associated with $U_q(\mathfrak{g})$ is a monoidal category. We define subgroups of $U_q(\mathfrak{g})$ to be right coideal subalgebras, and subgroups of $O_q(G)$ to be quotient left $O_q(G)$-module coalgebras. Furthermore, we discuss a categorical approach to subgroups of quantum groups which we hope will provide us with a link to crystal basis theory.△ Less"
GPU Support for Automatic Generation of Finite-Differences Stencil Kernels,"Authors:Vitor Hugo Mickus Rodrigues,Lucas Cavalcante,Maelso Bruno Pereira,Fabio Luporini,István Reguly,Gerard Gorman,Samuel Xavier de Souza","Abstract:…present an extension for an open source compiler designed to produce highly optimized finite difference kernels for use in inversion methods named Devito. We embed it with theOxfordParallel Domain Specific Language (OP-DSL) in order to enable automatic code generation for GPU architectures from a high-level representation. We aim to enable users coding in…▽ MoreThe growth of data to be processed in the Oil & Gas industry matches the requirements imposed by evolving algorithms based on stencil computations, such as Full Waveform Inversion and Reverse Time Migration. Graphical processing units (GPUs) are an attractive architectural target for stencil computations because of its high degree of data parallelism. However, the rapid architectural and technological progression makes it difficult for even the most proficient programmers to remain up-to-date with the technological advances at a micro-architectural level. In this work, we present an extension for an open source compiler designed to produce highly optimized finite difference kernels for use in inversion methods named Devito. We embed it with theOxfordParallel Domain Specific Language (OP-DSL) in order to enable automatic code generation for GPU architectures from a high-level representation. We aim to enable users coding in a symbolic representation level to effortlessly get their implementations leveraged by the processing capacities of GPU architectures. The implemented backend is evaluated on a NVIDIA GTX Titan Z, and on a NVIDIA Tesla V100 in terms of operational intensity through the roof-line model for varying space-order discretization levels of 3D acoustic isotropic wave propagation stencil kernels with and without symbolic optimizations. It achieves approximately 63% of V100's peak performance and 24% of Titan Z's peak performance for stencil kernels over grids with 256 points. Our study reveals that improving memory usage should be the most efficient strategy for leveraging the performance of the implemented solution on the evaluated architectures.△ Less"
Creativity,Authors:Liane Gabora,"Abstract:Creativity is perhaps what most differentiates humans from other species. It involves the capacity to shift between divergent and convergent modes of thought in response to task demands. Divergent thought has been characterized as the kind of thinking needed to generate multiple solutions, while convergent thought has been characterized as the kind of thinking needed for tasks in with one solution…▽ MoreCreativity is perhaps what most differentiates humans from other species. It involves the capacity to shift between divergent and convergent modes of thought in response to task demands. Divergent thought has been characterized as the kind of thinking needed to generate multiple solutions, while convergent thought has been characterized as the kind of thinking needed for tasks in with one solution. Divergent thought has been conceived of as reflecting on the task from unconventional perspectives, while convergent thought has been conceived of as reflecting on it from conventional perspectives. Personality traits correlated with creativity include openness to experience, tolerance of ambiguity, and self-confidence. Evidence that creativity is linked with affective disorders is mixed. Neuroscientific research using electroencephalography (EEG) or functional magnetic resonance imaging (fMRI) suggests that creativity is associated with a loosening of cognitive control and decreased arousal. The distributed, content-addressable structure of associative memory is conducive to bringing task-relevant items to mind without the need for explicit search. Human creativity dates back to the earliest stone tools over three million years ago, with the Paleolithic marking the onset of art, science, and religion. Areas of controversy concern the relative contributions of expertise, chance, and intuition, the importance of process versus product, whether creativity is domain-specific versus domain-general, the extent to which creativity is correlated with affective disorders, and whether divergent thought entails the generation of multiple ideas or the honing of a single initially ambiguous mental representation that may manifest as different external outputs. Areas for further research include computational modeling, the biological basis of creativity, and studies that track ideation processes over time.△ Less"
